date,compound_score,positive_score,neutral_score,negative_score
2019-10-28,-0.08306,0.1146,0.7586,0.127
2019-10-29,-0.01274,0.0834,0.833,0.0834
2019-10-30,0.06536,0.1122,0.7638,0.1238
2019-10-31,-0.1954,0.033,0.786,0.181
2019-11-01,0.03086,0.06,0.917,0.023
2019-11-02,0.09176,0.0352,0.9648,0
2019-11-03,-0.27298,0.0304,0.753,0.2166
2019-11-04,0.07636,0.0688,0.9042,0.027
2019-11-05,0.18642,0.0674,0.9326,0
2019-11-06,0.09526,0.0856,0.8704,0.044
2019-11-07,0.20972,0.1196,0.8804,0
2019-11-08,0.12724,0.1294,0.8346,0.036
2019-11-09,0.19986,0.1638,0.7852,0.051
2019-11-10,0.1985,0.1538,0.8184,0.0278
2019-11-11,0.12274,0.1042,0.861,0.0348
2019-11-12,0.1908,0.1704,0.7882,0.0414
2019-11-13,0.19116,0.1462,0.8294,0.0244
2019-11-14,-0.02696,0.0674,0.8786,0.054
2019-11-15,0.32968,0.1764,0.8236,0
2019-11-16,0.1183,0.1062,0.8624,0.0312
2019-11-17,0.23164,0.1742,0.74,0.0856
2019-11-18,-0.08638,0.0962,0.7402,0.1638
2019-11-19,0.24714,0.1756,0.7562,0.0682
2019-11-20,-0.19472,0.023,0.8626,0.1144
2019-11-21,0.1258,0.0774,0.9226,0
2019-11-22,0.15518,0.1376,0.7542,0.108
2019-11-23,-0.01544,0.0318,0.9436,0.0246
2019-11-24,-0.12674,0.0306,0.874,0.0954
2019-11-25,-0.11698,0.0504,0.8466,0.103
2019-11-26,0.40716,0.2276,0.7498,0.0226
2019-11-27,0.29212,0.2308,0.727,0.0422
2019-11-28,0.0804,0.0828,0.888,0.0292
2019-11-29,-0.43544,0,0.7834,0.2166
2019-11-30,0.28088,0.1606,0.7994,0.04
2019-12-01,0.11718,0.0346,0.9654,0
2019-12-02,0.14558,0.1486,0.7814,0.07
2019-12-03,0.09078,0.0838,0.8604,0.0558
2019-12-04,-0.04992,0.0698,0.8028,0.1274
2019-12-05,0.23426,0.1398,0.8602,0
2019-12-06,0.14182,0.084,0.89,0.026
2019-12-07,0.15798,0.0722,0.9278,0
2019-12-08,0.04214,0.0472,0.9128,0.04
2019-12-09,-0.18058,0.1066,0.668,0.2254
2019-12-10,-0.1123,0,0.9246,0.0754
2019-12-11,0.22056,0.103,0.8592,0.0378
2019-12-12,0.2629,0.188,0.7834,0.0286
2019-12-13,0.41374,0.2522,0.7098,0.038
2019-12-14,0.09414,0.1432,0.7134,0.1432
2019-12-15,0.26288,0.161,0.7834,0.0556
2019-12-16,0.24662,0.104,0.896,0
2019-12-17,0.37872,0.2666,0.6702,0.0632
2019-12-18,0.06364,0.0346,0.9654,0
2019-12-19,0.41462,0.276,0.724,0
2019-12-20,0.20378,0.187,0.768,0.045
2019-12-21,0.13926,0.1168,0.8432,0.04
2019-12-22,0.2009,0.1096,0.8904,0
2019-12-23,0.3488,0.2008,0.7992,0
2019-12-24,0.22848,0.127,0.873,0
2019-12-25,0.15414,0.1788,0.7904,0.0308
2019-12-26,-0.13904,0.0692,0.7766,0.1542
2019-12-27,0.0525,0.0788,0.8646,0.0566
2019-12-28,-0.10076,0.0268,0.9,0.0732
2019-12-29,0.08478,0.0764,0.8824,0.0412
2019-12-30,0.16778,0.1252,0.8516,0.0232
2019-12-31,0.23308,0.1558,0.8008,0.0434
2020-01-01,0.11176,0.1676,0.74,0.0924
2020-01-02,0.16612,0.0686,0.9152,0.0162
2020-01-03,0.0592,0.0846,0.9154,0
